gene	chr	strand	start	end	cell	binvalue	intscore
LSG1	chr3	-	194361520	194392920	54	12.573647187493322	1.8939689168515572
PTPN22	chr1	-	114356432	114414334	54	12.568668693380506	0.13129663182658516
BCL2L15	chr1	-	114419437	114430203	54	12.568668693380506	1.9398776570449592
CMC1	chr3	+	28283109	28366618	54	12.562242424221072	2.8216341179646216
AZI2	chr3	-	28362538	28390315	54	12.562242424221072	0.49543206366690673
NCOA7	chr6	+	126102260	126253180	54	12.545688495560213	1.6418078731937813
HINT3	chr6	+	126277915	126301389	54	12.545688495560213	0.30872598415667996
TRMT11	chr6	+	126307575	126360420	54	12.545688495560213	0.2504751703044865
CHMP2B	chr3	+	87276458	87304706	54	12.502831804066744	0.6500306916649513
SETD3	chr14	-	99864084	99947196	54	12.49360530705712	0.15199559431759724
CCNK	chr14	+	99947745	99978767	54	12.49360530705712	0.12919606682540075
MTERF3	chr8	-	97251625	97273841	54	12.428621886091111	0.7143248755518079
SDC2	chr8	+	97506040	97624018	54	12.428621886091111	1.0339607840716278
UQCRB	chr8	-	97235174	97247773	54	12.428621886091111	1.2315728325485202
KCND3	chr1	-	112318453	112531777	54	12.384783750093353	0.7415791541884884
DDX20	chr1	+	112298522	112310622	54	12.384783750093353	0.3782310451935526
LINC01750	chr1	+	112533157	112541463	54	12.384783750093353	0.9011842536420804
CTTNBP2NL	chr1	+	112938835	113003786	54	12.384783750093353	0.05283879488574803
SLC7A13	chr8	-	87226292	87242610	54	12.367141694552364	1.314684800816623
CNGB3	chr8	-	87586162	87755903	54	12.367141694552364	0.7738064491830381
NUDT7	chr16	+	77756388	77776157	54	12.355351096424812	1.7423817037771816
CEP128	chr14	-	80962820	81408082	54	12.042685372219351	1.3116978606829475
GTF2A1	chr14	-	81641795	81687303	54	12.042685372219351	0.7792301530603563
RAP1GDS1	chr4	+	99182534	99365009	54	12.039947160169094	1.77115320290456
TSPAN5	chr4	-	99391517	99579762	54	12.039947160169094	2.472751481961074
ADH5	chr4	-	99992129	100009939	54	12.039947160169094	1.553642085696219
MATN2	chr8	+	98881291	99048951	54	12.029287226968245	0.07030108538713685
DPY19L1	chr7	-	34968492	35077097	54	11.998237821888047	0.5636234844672703
LRRFIP2	chr3	-	37094116	37216073	54	11.962173031109709	0.35835138305788417
MLH1	chr3	+	37034840	37092337	54	11.962173031109709	1.3827404520024098
CTDSPL	chr3	+	37903370	38025960	54	11.962173031109709	0.3771297253535223
LRP12	chr8	-	105501459	105601252	54	11.956013078088098	2.8334863317091936
SUMF1	chr3	-	4402828	4508966	54	11.894817763307943	1.102710094518858
SETMAR	chr3	+	4344987	4356086	54	11.894817763307943	0.010485742901540036
FCMR	chr1	-	207076662	207095286	54	11.872290110288091	1.4931288970017675
SPAG1	chr8	+	101170265	101254132	54	11.825356341479335	0.6631050204275837
SNX31	chr8	-	101585101	101630633	54	11.825356341479335	0.9969630942699421
FBXO43	chr8	-	101145578	101158045	54	11.825356341479335	1.2599229191444397
MTCL1	chr18	+	8717378	8832776	54	11.794821973331223	1.2534364013892352
RAB12	chr18	+	8609442	8639380	54	11.794821973331223	0.7207383588737156
ZSWIM6	chr5	+	60628084	60841999	54	11.790755750118313	1.3821922548679881
ERCC8	chr5	-	60169658	60240905	54	11.790755750118313	0.7960897323263985
FAM3C	chr7	-	120988904	121036422	54	11.742730476519174	1.3181257505539457
